id;provider_name;description;api_key_text;api_secret_text;endpoint_text;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;ick;who gore;strict save;factor;fleece arrogantly;2024-02-29T20:08:55;2024-02-29T17:36:53;designer;save woot mid;false
2;woot psychology;clout;nor requirement leading;rent;towards;2024-02-29T14:23:22;2024-03-01T00:07:00;truly blocker meanwhile;blah behind landscape;true
3;briskly dribble;smoothly meh lest;heavy supposing voluntarily;concerning venerated;zowie group tender;2024-02-29T19:32:20;2024-02-29T04:25:36;self-assured;er unlike;true
4;questionably questionably savior;frigid tangerine within;intent;mustard tech psst;through pungent following;2024-02-29T03:12:46;2024-02-29T17:55:37;acrobatic;siding;false
5;wherever;justly antecedent oof;pfft into systematize;besides;but apropos to;2024-02-29T17:50:15;2024-02-29T05:45:48;picket;evict;true
6;provided nicely;yippee speaking;epithelium;exactly inasmuch petition;mmm judgementally;2024-02-29T22:10:31;2024-02-29T14:43:25;geez construe astride;sometimes indeed;false
7;nor;given notable athwart;till though;hosiery;retrace yellowish;2024-02-29T12:07:25;2024-02-29T04:15:00;inequality;infantile eat except;true
8;gah;fatally;recreation but vegetation;arm;boo itchy romanticize;2024-02-29T11:56:03;2024-02-29T23:04:48;er incidentally;uh-huh fooey;false
9;jubilantly;boo unnaturally immaterial;earmuffs searchingly always;wobbly reparation easel;fortunately bow;2024-02-29T21:19:48;2024-02-29T01:18:02;instead;for;false
10;walk convey authentic;rifle instead but;failing;disloyal cheerfully after;how implore;2024-02-29T20:29:19;2024-02-29T19:40:06;hazard now;ack fumble skeletal;true
